date,cash,position_qty,position_avg_price,position_value,mark_price,total_equity,drawdown,margin_used,margin_available,excess_margin,maintenance_margin_required,initial_margin_required,leverage,daily_realized_pnl,daily_unrealized_pnl,lifetime_realized_pnl
2025-02-18,97766939.989,0,0.0,0.0,144.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-19,97766939.989,0,0.0,0.0,145.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-20,97766939.989,0,0.0,0.0,145.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-21,97766939.989,0,0.0,0.0,145.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-24,97766939.989,0,0.0,0.0,140.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-25,97766939.989,0,0.0,0.0,135.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-26,97766939.989,0,0.0,0.0,140.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-27,97766939.989,0,0.0,0.0,135.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-02-28,97766939.989,0,0.0,0.0,124.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-03-03,97766939.989,0,0.0,0.0,135.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-03-04,97766939.989,0,0.0,0.0,127.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-03-05,97766939.989,0,0.0,0.0,128.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-03-06,97766939.989,0,0.0,0.0,129.0,97766939.989,-0.26650979670747077,0.0,97766939.989,97766939.989,0.0,0.0,0.0,0.0,0.0,-1744376.3999999925
2025-03-07,68371891.75645,227300,129.129,29549000.0,130.0,68569870.05645,-0.48555894320609116,14675510.85,58227720.056449994,58227720.056449994,10342150.0,14774500.0,0.430932711053322,0.0,197978.3000000021,-1744376.3999999925
2025-03-10,68371891.75645,227300,129.129,29549000.0,130.0,68569870.05645,-0.48555894320609116,14675510.85,58227720.056449994,58227720.056449994,10342150.0,14774500.0,0.430932711053322,0.0,197978.3000000021,-1744376.3999999925
2025-03-11,97817544.12895,0,0.0,0.0,127.0,97817544.12895,-0.26613014238972743,0.0,97817544.12895,97817544.12895,0.0,0.0,0.0,168429.30000000316,0.0,-1575947.0999999894
2025-03-12,68175579.77695,231000,128.128,28413000.0,123.0,66991011.77695,-0.4974042262898293,14798783.999999998,57046461.77695,57046461.77695,9944550.0,14206500.0,0.42413152520524,0.0,-1184567.9999999967,-1575947.0999999894
2025-03-13,68175579.77695,231000,128.128,27720000.0,120.0,66298011.77695,-0.5026034143889855,14798783.999999998,56596011.77695,56596011.77695,9702000.0,13860000.0,0.4181120859741601,0.0,-1877567.9999999967,-1575947.0999999894
2025-03-14,95798629.07695,0,0.0,0.0,118.0,95798629.07695,-0.2812769232144975,0.0,95798629.07695,95798629.07695,0.0,0.0,0.0,-1905287.999999998,0.0,-3481235.0999999875
2025-03-17,66993753.47745,243500,118.11799999999998,29707000.0,122.0,67939020.47745,-0.49029185175370216,14380866.499999998,57541570.47745,57541570.47745,10397450.0,14853500.0,0.4372597631115422,0.0,945267.0000000047,-3481235.0999999875
2025-03-18,66993753.47745,243500,118.11799999999998,26541500.0,109.0,64773520.477450006,-0.5140408126885923,14380866.499999998,55483995.477450006,55483995.477450006,9289525.0,13270750.0,0.4097584908827065,0.0,-2220232.9999999953,-3481235.0999999875
2025-03-19,93442424.5812,0,0.0,0.0,108.0,93442424.5812,-0.29895419648070465,0.0,93442424.5812,93442424.5812,0.0,0.0,0.0,-2246774.499999994,0.0,-5728009.599999981
2025-03-20,65086168.402950004,259500,109.109,27507000.0,106.0,64279382.902950004,-0.5177480481816461,14156892.75,54651932.902950004,54651932.902950004,9627450.0,13753500.0,0.42792881259501964,0.0,-806785.4999999986,-5728009.599999981
2025-03-21,65086168.402950004,259500,109.109,26988000.0,104.0,63760382.902950004,-0.521641812429066,14156892.75,54314582.902950004,54314582.902950004,9445800.0,13494000.0,0.4232722385164871,0.0,-1325785.4999999986,-5728009.599999981
2025-03-24,91979777.87295,0,0.0,0.0,97.0,91979777.87295,-0.30992760969687105,0.0,91979777.87295,91979777.87295,0.0,0.0,0.0,-1352773.4999999984,0.0,-7080783.099999979
2025-03-25,64323969.492750004,284400,97.097,28724400.0,101.0,65433982.69275001,-0.5090857372344362,13807193.399999999,55380442.69275001,55380442.69275001,10053540.0,14362200.0,0.4389829079314566,0.0,1110013.2000000016,-7080783.099999979
2025-03-26,64323969.492750004,284400,97.097,29293200.0,103.0,66002782.69275001,-0.5048183516777263,13807193.399999999,55750162.69275001,55750162.69275001,10252620.0,14646600.0,0.44381765139150225,0.0,1678813.2000000016,-7080783.099999979
2025-03-27,93514716.52575001,0,0.0,0.0,106.0,93514716.52575001,-0.298411830798498,0.0,93514716.52575001,93514716.52575001,0.0,0.0,0.0,1649520.0000000033,0.0,-5431263.099999975
2025-04-08,93514716.52575001,0,0.0,0.0,91.0,93514716.52575001,-0.298411830798498,0.0,93514716.52575001,93514716.52575001,0.0,0.0,0.0,0.0,0.0,-5431263.099999975
2025-04-09,93514716.52575001,0,0.0,0.0,86.0,93514716.52575001,-0.298411830798498,0.0,93514716.52575001,93514716.52575001,0.0,0.0,0.0,0.0,0.0,-5431263.099999975
2025-04-10,93514716.52575001,0,0.0,0.0,93.0,93514716.52575001,-0.298411830798498,0.0,93514716.52575001,93514716.52575001,0.0,0.0,0.0,0.0,0.0,-5431263.099999975
2025-04-11,121465415.84775001,-301600,92.907,-29858400.0,99.0,119627767.04775001,-0.1025003423329196,14010375.6,109177327.04775001,109177327.04775001,10450440.0,14929200.0,0.24959422663203162,0.0,-1837648.800000001,-5431263.099999975
2025-04-14,124494883.098,-331700,93.63223123304189,-36487000.0,110.0,119065694.198,-0.10671725787589081,15528905.549999999,106295244.198,106295244.198,12770450.0,18243500.0,0.3064442721790547,0.0,-5429188.900000004,-5431263.099999975
2025-04-15,91610844.93550001,-33100,111.888,-3541700.0,107.0,91772637.73550001,-0.3114816653065213,1851746.4000000001,90533042.73550001,90533042.73550001,1239595.0,1770850.0,0.03859211293683869,-5465675.899999999,161792.80000000016,-10896938.999999974
2025-04-16,91969286.88475001,-36400,111.61629395604398,-3967600.0,109.0,92064519.98475,-0.3092918374325595,2031416.5500000003,90675859.98475,90675859.98475,1388660.0,1983800.0,0.0430958636471163,0.0,95233.1000000007,-10896938.999999974
2025-04-17,88379202.10535002,-3600,107.892,-388800.0,108.0,88378813.30535002,-0.3369436156497554,194205.6,88242733.30535002,88242733.30535002,136080.0,194400.0,0.004399244405519348,91265.5000000009,-388.80000000001473,-10805673.499999974
2025-04-21,88379202.10535002,-3600,107.892,-396000.0,110.0,88371613.30535002,-0.3369976331884479,194205.6,88233013.30535002,88233013.30535002,138600.0,198000.0,0.004481076956598077,0.0,-7588.800000000015,-10805673.499999974
2025-04-22,87826080.28610002,0,0.0,0.0,117.0,87826080.28610002,-0.3410904597128077,0.0,87826080.28610002,87826080.28610002,0.0,0.0,0.0,-26002.799999999945,0.0,-10831676.299999975
2025-04-23,61197835.94340002,225100,118.11799999999998,25886500.0,115.0,60495974.14340002,-0.546132829995348,13294180.899999999,51435699.14340002,51435699.14340002,9060275.0,12943250.0,0.4279045071435412,0.0,-701861.7999999956,-10831676.299999975
2025-04-24,61197835.94340002,225100,118.11799999999998,25211200.0,112.0,59820674.14340002,-0.5511992249785516,13294180.899999999,50996754.14340002,50996754.14340002,8823920.0,12605600.0,0.42144627022364534,0.0,-1377161.7999999956,-10831676.299999975
2025-04-25,86320859.77140002,0,0.0,0.0,114.0,86320859.77140002,-0.352383280184141,0.0,86320859.77140002,86320859.77140002,0.0,0.0,0.0,-1402372.9999999944,0.0,-12234049.29999997
2025-04-28,112119711.59490001,-227100,113.886,-25889400.0,114.0,112093822.1949,-0.1590232808879506,12931755.299999999,103032532.1949,103032532.1949,9061290.0,12944700.0,0.23096188079826138,0.0,-25889.40000000098,-12234049.29999997
2025-04-29,112119711.59490001,-227100,113.886,-29295900.0,129.0,108687322.1949,-0.1845803288818546,12931755.299999999,98433757.1949,98433757.1949,10253565.0,14647950.0,0.26954293664044904,0.0,-3432389.400000001,-12234049.29999997
2025-04-30,86393217.35145001,0,0.0,0.0,131.0,86393217.35145001,-0.3518404220758009,0.0,86393217.35145001,86393217.35145001,0.0,0.0,0.0,175548.30000000235,0.0,-12058500.999999966
2025-05-02,113594148.19245002,-197800,137.862,-27296400.0,138.0,113566851.79245001,-0.14797197071004764,13634551.799999999,104013111.79245001,104013111.79245001,9553740.0,13648200.0,0.24035534638122882,0.0,-27296.400000001035,-12058500.999999966
2025-05-02,86229466.24785003,0,0.0,0.0,138.0,86229466.24785003,-0.3530689542389477,0.0,86229466.24785003,86229466.24785003,0.0,0.0,0.0,-54592.799999996445,0.0,-12113093.799999963
